variant,family,seed,outcome,return_total,utility_score,min_distance,clearance_score,time_efficiency_score,path_efficiency_score
clean,nominal,11,success,27.838138651715298,0.6617253008106051,0.7430563134471289,0.6340076526631865,0.9992863731693636,0.983958982273501
clean,nominal,17,success,27.86306366430084,0.6620711483976557,0.7460458334464644,0.6376313132684416,0.9994208851444858,0.9836592855636286
clean,nominal,23,success,27.835772765498763,0.6600718873053968,0.7318382943992141,0.6204100538172292,0.996990041304836,0.9833187779319029
clean,nominal,31,success,27.8215034455899,0.6611853364608908,0.7391752176110806,0.6293032940740371,0.9991108951647303,0.9834391753701404
clean,nominal,47,success,27.840745760053057,0.6605419574021776,0.7344799763033762,0.6236120924889409,0.9988073161106299,0.9830001654222038
clean,nominal,59,success,27.83288053924698,0.6602984120974557,0.7311192276611056,0.6195384577710371,0.9995855998662635,0.9838600633372555
clean,nominal,71,success,27.853346071504735,0.6627617373562684,0.7525106426892307,0.645467445683916,0.998448396917151,0.9837015309616176
clean,nominal,83,success,27.840070853842395,0.6618639776087126,0.7439263464892889,0.635062238168835,0.9999035000794286,0.9836740378388623
clean,nominal,97,success,27.851235168581294,0.6629083856720126,0.7525202152153483,0.6454790487458767,0.9995598449024624,0.9840449630717868
clean,nominal,101,success,27.87015325932357,0.6626340617999344,0.7503365775798123,0.6428322152482573,0.9996774698870308,0.9838309328640558
clean,nominal,113,success,29.08805659321777,0.6819054628866424,0.9143825551648306,0.8416758244422189,0.9972504876675721,0.980128316756633
clean,nominal,127,success,29.077626604966042,0.6814170209563086,0.9128889848716633,0.8398654362080766,0.9945831686050954,0.979721604749914
clean,shifted,11,success,22.62866412090446,0.6128251559021496,0.36177515500445856,0.17184867273267704,0.9970846622410866,0.9593182240477315
clean,shifted,17,success,22.659541766460038,0.6133868666888018,0.366778723391884,0.17791360411137452,0.9956293741063648,0.9603256886702786
clean,shifted,23,success,22.66649283843135,0.6131250786334658,0.365624564422381,0.17651462354227998,0.9957549449470172,0.9589812178453601
clean,shifted,31,success,22.65892108723704,0.610525576157631,0.3449773998803829,0.15148775743076714,0.9939018198129149,0.9598661843326287
clean,shifted,47,success,22.63193806303572,0.6104645390086678,0.345670739744248,0.15232816938696725,0.9931890971950121,0.9591281235046986
clean,shifted,59,success,22.639085152025142,0.6140179302488625,0.37207000395919443,0.18432727752629627,0.9964911815359706,0.9593608434263585
clean,shifted,71,success,22.63913853188547,0.6119265916214539,0.3552976215680921,0.1639971170522328,0.9963271119427838,0.9589416872195223
clean,shifted,83,success,22.66302424526443,0.6118463056097853,0.3534548352430711,0.16176343665826798,0.9965263767604308,0.9601732426791533
clean,shifted,97,success,15.327272155169002,0.5956749899874916,0.00024879501049668296,0.0,0.9963073010322531,0.9604425988426623
clean,shifted,101,success,15.378959368282452,0.5953440229465611,0.016273691038957705,0.0,0.9948181690349863,0.9586220604306235
clean,shifted,113,timeout,10.343673794233608,-0.03194647242542566,-0.1418293602458831,0.0,0.31681408746687967,0.8637211882788637
clean,shifted,127,timeout,10.368374290578497,-0.032456155417425664,-0.13154455860381487,0.0,0.31321264899384815,0.862225796831895
